Symbol;RS Rating;;;
GERHSP.ST;;;;
GETI-B.ST;;;;
GHP.ST;;;;
GIGSEK.ST;;;;
GJ.ST;;;;
GLA1V.ST;;;;
GMAB.ST;;;;
GN.ST;;;;
GPG.ST;;;;
GPG-PREF.ST;;;;
GREEN.ST;;;;
GRLA.ST;;;;
GRNG.ST;;;;
GUNN.ST;;;;
GYLD-A.ST;;;;
GYLD-B.ST;;;;
HAGA.ST;;;;
HANDI.ST;;;;
HANZA.ST;;;;
HARB-B.ST;;;;
HART.ST;;;;
HARVIA.ST;;;;
HAV-B.ST;;;;
HEBA-B.ST;;;;
HEIMA.ST;;;;
HEXA-B.ST;;;;
HH.ST;;;;
HIQ.ST;;;;
HKSAV.ST;;;;
HLDX.ST;;;;
HM-B.ST;;;;
HMS.ST;;;;
HNSA.ST;;;;
HOFI.ST;;;;
HOLM-A.ST;;;;
HOLM-B.ST;;;;
HONBS.ST;;;;
HPOL-B.ST;;;;
HTRO.ST;;;;
HUFV-A.ST;;;;
HUH1V.ST;;;;
HUM.ST;;;;
HUSQ-A.ST;;;;
HUSQ-B.ST;;;;
HVID.ST;;;;
IAR-B.ST;;;;
IBT-B.ST;;;;
ICA.ST;;;;
ICEAIR.ST;;;;
ICESEA.ST;;;;
ICP1V.ST;;;;
IFA1V.ST;;;;
ILK2S.ST;;;;
IMAIL.ST;;;;
IMMNOV.ST;;;;
IMMU.ST;;;;
INDT.ST;;;;
INDU-A.ST;;;;
INDU-C.ST;;;;
INSTAL.ST;;;;
INTRUM.ST;;;;
INVE-A.ST;;;;
INVE-B.ST;;;;
INVEST.ST;;;;
INWI.ST;;;;
IPCO.ST;;;;
IRRAS.ST;;;;
IS.ST;;;;
ISS.ST;;;;
ITAB-B.ST;;;;
IVSO.ST;;;;
JDAN.ST;;;;
JM.ST;;;;
JOMA.ST;;;;
JOSE.ST;;;;
JUTBK.ST;;;;
JYSK.ST;;;;
K2A-B.ST;;;;
K2A-PREF.ST;;;;
KABE-B.ST;;;;
KAMUX.ST;;;;
KAR.ST;;;;
KARO.ST;;;;
KBHL.ST;;;;
KCR.ST;;;;
KDEV.ST;;;;
KELAS.ST;;;;
KEMIRA.ST;;;;
KESKOA.ST;;;;
KESKOB.ST;;;;
KFAST-B.ST;;;;
KIND-SDB.ST;;;;
KINV-A.ST;;;;
KINV-B.ST;;;;
KLED.ST;;;;
KLEE-B.ST;;;;
KLOV-A.ST;;;;
KLOV-B.ST;;;;
KLOV-PREF.ST;;;;
KNEBV.ST;;;;
KNOW.ST;;;;
KOJAMO.ST;;;;
KRE.ST;;;;
KSLAV.ST;;;;
KVIKA.ST;;;;
LAGR-B.ST;;;;
LAMM-B.ST;;;;
LASP.ST;;;;
LAT1V.ST;;;;
LATO-B.ST;;;;
LEHTO.ST;;;;
LEO.ST;;;;
LIAB.ST;;;;
LIFCO-B.ST;;;;
LIME.ST;;;;
LOLB.ST;;;;
LOOMIS.ST;;;;
LUC.ST;;;;
LUG.ST;;;;
LUMI.ST;;;;
LUN.ST;;;;
LUND-B.ST;;;;
LUNE.ST;;;;
LUXOR-B.ST;;;;
MAERSK-A.ST;;;;
MAERSK-B.ST;;;;
MAG.ST;;;;
MARAS.ST;;;;
MAREL.ST;;;;
MATAS.ST;;;;
MCAP.ST;;;;
MCOV-B.ST;;;;
MEAB-B.ST;;;;
MEKO.ST;;;;
METSA.ST;;;;
METSB.ST;;;;
MIDW-A.ST;;;;
MIDW-B.ST;;;;
MIGA-B.ST;;;;
MIPS.ST;;;;
MMGR-B.ST;;;;
MMO1V.ST;;;;
MNBA.ST;;;;
